file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,1,css,b945e0d6,milanrona,2025-04-18,15:19:32,-07:00,2025-04-18T15:19:32-07:00,0,5
style.css,2,css,b945e0d6,milanrona,2025-04-18,15:19:32,-07:00,2025-04-18T15:19:32-07:00,0,24
style.css,3,css,b945e0d6,milanrona,2025-04-18,15:19:32,-07:00,2025-04-18T15:19:32-07:00,0,24
style.css,4,css,b945e0d6,milanrona,2025-04-18,15:19:32,-07:00,2025-04-18T15:19:32-07:00,0,17
style.css,5,css,b945e0d6,milanrona,2025-04-18,15:19:32,-07:00,2025-04-18T15:19:32-07:00,0,0
style.css,6,css,b945e0d6,milanrona,2025-04-18,15:19:32,-07:00,2025-04-18T15:19:32-07:00,0,0
style.css,7,css,047ee3bd,milanrona,2025-04-03,14:50:56,-07:00,2025-04-03T14:50:56-07:00,0,5
style.css,8,css,047ee3bd,milanrona,2025-04-03,14:50:56,-07:00,2025-04-03T14:50:56-07:00,0,24
style.css,9,css,626e77c9,milanrona,2025-04-11,14:12:32,-07:00,2025-04-11T14:12:32-07:00,0,16
style.css,10,css,626e77c9,milanrona,2025-04-11,14:12:32,-07:00,2025-04-11T14:12:32-07:00,0,19
style.css,11,css,626e77c9,milanrona,2025-04-11,14:12:32,-07:00,2025-04-11T14:12:32-07:00,0,13
style.css,12,css,626e77c9,milanrona,2025-04-11,14:12:32,-07:00,2025-04-11T14:12:32-07:00,0,0
style.css,13,css,626e77c9,milanrona,2025-04-11,14:12:32,-07:00,2025-04-11T14:12:32-07:00,0,7
style.css,14,css,626e77c9,milanrona,2025-04-11,14:12:32,-07:00,2025-04-11T14:12:32-07:00,0,17
style.css,15,css,626e77c9,milanrona,2025-04-11,14:12:32,-07:00,2025-04-11T14:12:32-07:00,0,0
style.css,16,css,626e77c9,milanrona,2025-04-11,14:12:32,-07:00,2025-04-11T14:12:32-07:00,0,0
style.css,17,css,626e77c9,milanrona,2025-04-11,14:12:32,-07:00,2025-04-11T14:12:32-07:00,0,4
style.css,18,css,b945e0d6,milanrona,2025-04-18,15:19:32,-07:00,2025-04-18T15:19:32-07:00,0,40
style.css,19,css,626e77c9,milanrona,2025-04-11,14:12:32,-07:00,2025-04-11T14:12:32-07:00,0,13
style.css,20,css,626e77c9,milanrona,2025-04-11,14:12:32,-07:00,2025-04-11T14:12:32-07:00,0,24
style.css,21,css,626e77c9,milanrona,2025-04-11,14:12:32,-07:00,2025-04-11T14:12:32-07:00,0,26
style.css,22,css,626e77c9,milanrona,2025-04-11,14:12:32,-07:00,2025-04-11T14:12:32-07:00,0,38
style.css,23,css,626e77c9,milanrona,2025-04-11,14:12:32,-07:00,2025-04-11T14:12:32-07:00,0,19
style.css,24,css,626e77c9,milanrona,2025-04-11,14:12:32,-07:00,2025-04-11T14:12:32-07:00,0,0
style.css,25,css,626e77c9,milanrona,2025-04-11,14:12:32,-07:00,2025-04-11T14:12:32-07:00,0,0
style.css,26,css,626e77c9,milanrona,2025-04-11,14:12:32,-07:00,2025-04-11T14:12:32-07:00,0,6
style.css,27,css,626e77c9,milanrona,2025-04-11,14:12:32,-07:00,2025-04-11T14:12:32-07:00,0,21
